participant,encoding_strategy,interference_type,false_recall_proportion
058217,imag_association,control,0
058217,imag_association,verbal,0
058217,imag_association,visual,0
077402,verb_association,control,0.3333333333333333
077402,verb_association,verbal,0.6666666666666666
077402,verb_association,visual,0.3333333333333333
121818,imag_single,control,0.3333333333333333
121818,imag_single,verbal,0.3333333333333333
121818,imag_single,visual,0
143678,verb_association,control,0.3333333333333333
143678,verb_association,verbal,0.3333333333333333
143678,verb_association,visual,1
191144,imag_single,control,1
191144,imag_single,verbal,0.6666666666666666
191144,imag_single,visual,0.6666666666666666
371642,verb_single,control,0
371642,verb_single,verbal,0.3333333333333333
371642,verb_single,visual,0
453153,verb_association,control,0
453153,verb_association,verbal,0
453153,verb_association,visual,0
510800,verb_association,control,0
510800,verb_association,verbal,0
510800,verb_association,visual,0
522897,imag_association,control,0.6666666666666666
522897,imag_association,verbal,0.6666666666666666
522897,imag_association,visual,0
571749,verb_association,control,0.3333333333333333
571749,verb_association,verbal,0.3333333333333333
571749,verb_association,visual,1
577763,imag_association,control,0.3333333333333333
577763,imag_association,verbal,0
577763,imag_association,visual,0
593556,verb_association,control,0.6666666666666666
593556,verb_association,verbal,0
593556,verb_association,visual,0.3333333333333333
643685,verb_single,control,0.3333333333333333
643685,verb_single,verbal,0
643685,verb_single,visual,0
662545,imag_association,control,0.3333333333333333
662545,imag_association,verbal,0.3333333333333333
662545,imag_association,visual,0.3333333333333333
665565,imag_association,control,0
665565,imag_association,verbal,0.3333333333333333
665565,imag_association,visual,0
697823,imag_association,control,0.6666666666666666
697823,imag_association,verbal,1
697823,imag_association,visual,0.6666666666666666
746087,verb_single,control,0
746087,verb_single,verbal,0.3333333333333333
746087,verb_single,visual,0.3333333333333333
781513,verb_association,control,0.3333333333333333
781513,verb_association,verbal,0.3333333333333333
781513,verb_association,visual,0.3333333333333333
783294,imag_single,control,0.3333333333333333
783294,imag_single,verbal,0.6666666666666666
783294,imag_single,visual,0.3333333333333333
801388,imag_single,control,0
801388,imag_single,verbal,0
801388,imag_single,visual,0
825709,imag_single,control,0
825709,imag_single,verbal,0.6666666666666666
825709,imag_single,visual,0.3333333333333333
841811,imag_single,control,0.3333333333333333
841811,imag_single,verbal,0.6666666666666666
841811,imag_single,visual,1
862003,imag_association,control,0.3333333333333333
862003,imag_association,verbal,0
862003,imag_association,visual,0.3333333333333333
936429,verb_single,control,0
936429,verb_single,verbal,0
936429,verb_single,visual,0.3333333333333333
986610,verb_association,control,0.6666666666666666
986610,verb_association,verbal,0.3333333333333333
986610,verb_association,visual,0
TgA3wccPQM9Has7,imag_single,control,1
TgA3wccPQM9Has7,imag_single,verbal,0.6666666666666666
TgA3wccPQM9Has7,imag_single,visual,0.6666666666666666
