"participant","encoding_strategy","interference_type","VVIQ_score","true_recall_proportion","false_recall_proportion"
"058217","imag_association","control",21,0.622222222222222,0
"058217","imag_association","verbal",21,0.511111111111111,0
"058217","imag_association","visual",21,0.711111111111111,0
"077402","verb_association","control",64,0.577777777777778,0.333333333333333
"077402","verb_association","verbal",64,0.555555555555556,0.666666666666667
"077402","verb_association","visual",64,0.533333333333333,0.333333333333333
"121818","imag_single","control",70,0.6,0.333333333333333
"121818","imag_single","verbal",70,0.644444444444444,0.333333333333333
"121818","imag_single","visual",70,0.622222222222222,0
"143678","verb_association","control",73,0.733333333333333,0.333333333333333
"143678","verb_association","verbal",73,0.8,0.333333333333333
"143678","verb_association","visual",73,0.622222222222222,1
"191144","imag_single","control",62,0.644444444444444,1
"191144","imag_single","verbal",62,0.444444444444444,0.666666666666667
"191144","imag_single","visual",62,0.577777777777778,0.666666666666667
"371642","verb_single","control",77,0.688888888888889,0
"371642","verb_single","verbal",77,0.711111111111111,0.333333333333333
"371642","verb_single","visual",77,0.488888888888889,0
"453153","verb_association","control",74,0.466666666666667,0
"453153","verb_association","verbal",74,0.444444444444444,0
"453153","verb_association","visual",74,0.422222222222222,0
"510800","verb_association","control",80,0.488888888888889,0
"510800","verb_association","verbal",80,0.533333333333333,0
"510800","verb_association","visual",80,0.488888888888889,0
"522897","imag_association","control",57,0.6,0.666666666666667
"522897","imag_association","verbal",57,0.422222222222222,0.666666666666667
"522897","imag_association","visual",57,0.422222222222222,0
"571749","verb_association","control",74,0.577777777777778,0.333333333333333
"571749","verb_association","verbal",74,0.666666666666667,0.333333333333333
"571749","verb_association","visual",74,0.688888888888889,1
"577763","imag_association","control",62,0.311111111111111,0.333333333333333
"577763","imag_association","verbal",62,0.266666666666667,0
"577763","imag_association","visual",62,0.511111111111111,0
"593556","verb_association","control",53,0.288888888888889,0.666666666666667
"593556","verb_association","verbal",53,0.333333333333333,0
"593556","verb_association","visual",53,0.288888888888889,0.333333333333333
"643685","verb_single","control",76,0.533333333333333,0.333333333333333
"643685","verb_single","verbal",76,0.466666666666667,0
"643685","verb_single","visual",76,0.266666666666667,0
"662545","imag_association","control",58,0.577777777777778,0.333333333333333
"662545","imag_association","verbal",58,0.488888888888889,0.333333333333333
"662545","imag_association","visual",58,0.444444444444444,0.333333333333333
"665565","imag_association","control",56,0.711111111111111,0
"665565","imag_association","verbal",56,0.688888888888889,0.333333333333333
"665565","imag_association","visual",56,0.688888888888889,0
"697823","imag_association","control",37,0.311111111111111,0.666666666666667
"697823","imag_association","verbal",37,0.577777777777778,1
"697823","imag_association","visual",37,0.422222222222222,0.666666666666667
"746087","verb_single","control",69,0.555555555555556,0
"746087","verb_single","verbal",69,0.311111111111111,0.333333333333333
"746087","verb_single","visual",69,0.555555555555556,0.333333333333333
"781513","verb_association","control",69,0.533333333333333,0.333333333333333
"781513","verb_association","verbal",69,0.533333333333333,0.333333333333333
"781513","verb_association","visual",69,0.577777777777778,0.333333333333333
"783294","imag_single","control",61,0.511111111111111,0.333333333333333
"783294","imag_single","verbal",61,0.4,0.666666666666667
"783294","imag_single","visual",61,0.511111111111111,0.333333333333333
"801388","imag_single","control",73,0.088888889,0
"801388","imag_single","verbal",73,0.133333333333333,0
"801388","imag_single","visual",73,0.088888889,0
"825709","imag_single","control",46,0.622222222222222,0
"825709","imag_single","verbal",46,0.511111111111111,0.666666666666667
"825709","imag_single","visual",46,0.577777777777778,0.333333333333333
"841811","imag_single","control",59,0.688888888888889,0.333333333333333
"841811","imag_single","verbal",59,0.511111111111111,0.666666666666667
"841811","imag_single","visual",59,0.644444444444444,1
"862003","imag_association","control",80,0.8,0.333333333333333
"862003","imag_association","verbal",80,0.844444444444444,0
"862003","imag_association","visual",80,0.733333333333333,0.333333333333333
"936429","verb_single","control",74,0.733333333333333,0
"936429","verb_single","verbal",74,0.666666666666667,0
"936429","verb_single","visual",74,0.466666666666667,0.333333333333333
"986610","verb_association","control",50,0.711111111111111,0.666666666666667
"986610","verb_association","verbal",50,0.533333333333333,0.333333333333333
"986610","verb_association","visual",50,0.733333333333333,0
"TgA3wccPQM9Has7","imag_single","control",65,0.688888888888889,1
"TgA3wccPQM9Has7","imag_single","verbal",65,0.422222222222222,0.666666666666667
"TgA3wccPQM9Has7","imag_single","visual",65,0.555555555555556,0.666666666666667
