"participant","encoding_strategy","encoding_modality","encoding_depth","VVIQ_score","true_recall_proportion","false_recall_proportion"
"058217","imag_association","visual","deep",21,0.614814814814815,0
"077402","verb_association","verbal","deep",64,0.555555555555556,0.444444444444444
"121818","imag_single","visual","shallow",70,0.622222222222222,0.222222222222222
"143678","verb_association","verbal","deep",73,0.718518518518519,0.555555555555556
"191144","imag_single","visual","shallow",62,0.555555555555556,0.777777777777778
"371642","verb_single","verbal","shallow",77,0.62962962962963,0.111111111111111
"453153","verb_association","verbal","deep",74,0.444444444444444,0
"510800","verb_association","verbal","deep",80,0.503703703703704,0
"522897","imag_association","visual","deep",57,0.481481481481481,0.444444444444444
"571749","verb_association","verbal","deep",74,0.644444444444444,0.555555555555556
"577763","imag_association","visual","deep",62,0.362962962962963,0.111111111111111
"593556","verb_association","verbal","deep",53,0.303703703703704,0.333333333333333
"643685","verb_single","verbal","shallow",76,0.422222222222222,0.111111111111111
"662545","imag_association","visual","deep",58,0.503703703703704,0.333333333333333
"665565","imag_association","visual","deep",56,0.696296296296296,0.111111111111111
"697823","imag_association","visual","deep",37,0.437037037037037,0.777777777777778
"746087","verb_single","verbal","shallow",69,0.474074074074074,0.222222222222222
"781513","verb_association","verbal","deep",69,0.548148148148148,0.333333333333333
"783294","imag_single","visual","shallow",61,0.474074074074074,0.444444444444444
"801388","imag_single","visual","shallow",73,0.103703703777778,0
"825709","imag_single","visual","shallow",46,0.57037037037037,0.333333333333333
"841811","imag_single","visual","shallow",59,0.614814814814815,0.666666666666667
"862003","imag_association","visual","deep",80,0.792592592592593,0.222222222222222
"936429","verb_single","verbal","shallow",74,0.622222222222222,0.111111111111111
"986610","verb_association","verbal","deep",50,0.659259259259259,0.333333333333333
"TgA3wccPQM9Has7","imag_single","visual","shallow",65,0.555555555555556,0.777777777777778
