"participant","encoding_strategy","encoding_modality","encoding_depth","VVIQ_score","true_recall_proportion","false_recall_proportion"
1,"verb_single","verbal","shallow",48,0.507463782551976,0.253335392562163
2,"verb_single","verbal","shallow",42,0.726074486352476,0.263600513037074
3,"verb_single","verbal","shallow",63,0.5061994083136,0.766661169878953
4,"verb_single","verbal","shallow",25,0.5913783027791,0.580106089781234
5,"verb_single","verbal","shallow",67,0.37980498833,0.113094919444982
6,"verb_single","verbal","shallow",77,0.50969157090602,0.256645341833102
7,"verb_association","verbal","deep",65,0.663500538383054,0.579086433404978
8,"verb_association","verbal","deep",34,0.503926717868545,0.865787313111728
9,"verb_association","verbal","deep",33,0.439797604744326,0.632951325097407
10,"verb_association","verbal","deep",68,0.591223173181288,0.516784622939081
11,"verb_association","verbal","deep",60,0.410073462003446,0.35703280129002
12,"verb_association","verbal","deep",36,0.407288794515149,0.731586401546739
13,"verb_association","verbal","deep",35,0.631178786551445,0.57535440388605
14,"imag_single","visual","shallow",38,0.494759284113977,0.787837408473211
15,"imag_single","visual","shallow",22,0.411457543654099,0.388272588310144
16,"imag_single","visual","shallow",75,0.518274312936456,0.20398362364272
17,"imag_single","visual","shallow",30,0.591051210306928,0.467661581260925
18,"imag_single","visual","shallow",64,0.470166904935847,0.349309161274063
19,"imag_single","visual","shallow",33,0.4175689568783,0.545565162294328
20,"imag_association","visual","deep",53,0.443991475594032,0.477421666876781
21,"imag_association","visual","deep",50,0.604120295424563,0.864194257868919
22,"imag_association","visual","deep",46,0.518876287145363,0.0542451185895134
23,"imag_association","visual","deep",70,0.446868672186791,0.201828612763468
24,"imag_association","visual","deep",48,0.637457659924803,0.164310425057281
25,"imag_association","visual","deep",57,0.606307467936032,0.79221834245728
26,"imag_association","visual","deep",78,0.50860332230449,0.447033426521569
